Date,ESG,Value/Size/Mom,Value/Size/Mom/ESG,Value,Value/ESG,Size,Size/ESG,Momentum,Momentum/ESG,Value/Size,Value/Size/ESG,Value/Momentum,Value/Momentum/ESG,Size/Momentum,Size/Momentum/ESG
2020-08-24,-45.100000000000016,-5.100000000000005,-14.124999999999993,6.0,-19.40000000000001,-17.300000000000008,-25.650000000000016,-7.800000000000004,-22.199999999999992,-8.7,-15.500000000000004,1.5499999999999972,-16.4,-9.249999999999996,-22.566666666666677
2020-08-25,-45.100000000000016,-5.100000000000005,-14.124999999999993,6.0,-19.40000000000001,-17.300000000000008,-25.650000000000016,-7.800000000000004,-22.199999999999992,-8.7,-15.500000000000004,1.5499999999999972,-16.4,-9.249999999999996,-22.566666666666677
2020-08-26,-45.100000000000016,-5.100000000000005,-14.124999999999993,6.0,-19.40000000000001,-17.300000000000008,-25.650000000000016,-7.800000000000004,-22.199999999999992,-8.7,-15.500000000000004,1.5499999999999972,-16.4,-9.249999999999996,-22.566666666666677
2020-08-27,-45.100000000000016,-5.100000000000005,-14.124999999999993,6.0,-19.40000000000001,-17.300000000000008,-25.650000000000016,-7.800000000000004,-22.199999999999992,-8.7,-15.500000000000004,1.5499999999999972,-16.4,-9.249999999999996,-22.566666666666677
2020-08-28,-45.100000000000016,-5.100000000000005,-14.124999999999993,6.0,-19.40000000000001,-17.300000000000008,-25.650000000000016,-7.800000000000004,-22.199999999999992,-8.7,-15.500000000000004,1.5499999999999972,-16.4,-9.249999999999996,-22.566666666666677
2020-08-31,-45.100000000000016,-5.100000000000005,-14.124999999999993,6.0,-19.40000000000001,-17.300000000000008,-25.650000000000016,-7.800000000000004,-22.199999999999992,-8.7,-15.500000000000004,1.5499999999999972,-16.4,-9.249999999999996,-22.566666666666677
2020-09-01,-46.2,-6.13333333333334,-13.300000000000004,2.500000000000007,-20.400000000000013,-15.700000000000003,-28.25,-9.100000000000001,-25.050000000000004,-6.700000000000003,-16.833333333333336,-0.8999999999999986,-14.100000000000005,-9.8,-20.833333333333336
2020-09-02,-46.2,-6.13333333333334,-13.300000000000004,2.500000000000007,-20.400000000000013,-15.700000000000003,-28.25,-9.100000000000001,-25.050000000000004,-6.700000000000003,-16.833333333333336,-0.8999999999999986,-14.100000000000005,-9.8,-20.833333333333336
2020-09-03,-46.2,-6.13333333333334,-13.300000000000004,2.500000000000007,-20.400000000000013,-15.700000000000003,-28.25,-9.100000000000001,-25.050000000000004,-6.700000000000003,-16.833333333333336,-0.8999999999999986,-14.100000000000005,-9.8,-20.833333333333336
2020-09-04,-46.2,-6.13333333333334,-13.300000000000004,2.500000000000007,-20.400000000000013,-15.700000000000003,-28.25,-9.100000000000001,-25.050000000000004,-6.700000000000003,-16.833333333333336,-0.8999999999999986,-14.100000000000005,-9.8,-20.833333333333336
